TARGET_ID,PROVABGS_LOGMSTAR_BF,FLUX_G_DERED,FLUX_R_DERED,FLUX_Z_DERED,FLUX_W1_DERED,FLUX_W2_DERED,Z
39633162699016845,10.85619068145752,4.328772,16.603228,33.80142,50.701374,28.676094,0.2634982342811107
39633162699016743,11.383174896240234,23.30068,82.00587,163.20535,196.8439,130.87245,0.22130834776486136
39633154075528550,10.749245643615723,5.7207413,13.945248,24.263542,28.203436,21.925661,0.2948082364467466
39633149730229445,10.99433422088623,3.9071653,10.354679,19.912104,27.78515,25.56214,0.3529794564226663
39633140985102989,11.340436935424805,15.010599,55.562153,106.44193,113.015144,79.32472,0.26022293172643596
39633166985595463,11.837952613830566,2.5132644,7.9943156,21.723589,71.659744,40.576416,0.5871044714721063
39633162703209173,11.32030200958252,6.486327,24.09049,52.547264,67.11027,44.869522,0.3231103514546201
39633162703208947,10.957876205444336,7.727804,18.870916,34.64999,41.085426,35.81074,0.2745628432204888
39633166985596821,10.96832275390625,71.8555,178.63069,323.61734,268.22974,162.33401,0.1152895726531483
39633162678046255,11.532946586608887,10.686871,45.13161,94.95207,120.56974,83.250946,0.2992218091919204
39633162678046302,11.241178512573242,3.3241224,14.785457,32.28148,49.41774,32.434753,0.3586591294817406
39633145334598384,10.52934741973877,10.473162,21.552134,37.416985,41.401184,33.788258,0.18070226353137087
39633162678046360,10.908976554870605,5.3412256,22.645517,46.851646,57.29421,39.80227,0.2999508854929393
39633132151900016,10.310384750366211,4.3869486,9.279127,15.282295,16.207191,11.323529,0.26444560800847616
39633132151899816,10.914538383483887,7.7850847,27.852324,52.355022,59.145096,40.52573,0.2648068762449196
39633140968325845,11.597567558288574,2.782951,9.342873,19.780125,40.306206,28.126389,0.461660612356234
39633162699018280,9.786871910095215,13.089011,21.131681,28.497389,20.283194,14.007698,0.1373650350336692
39633166981399396,12.278372764587402,5.4965434,15.760568,31.22221,54.328926,45.250324,0.4026538129310148
39633140964133748,8.882454872131348,6.889313,8.942777,10.290896,8.221931,1.1047059,0.09094182455253585
